date,drive_count,drive_failures
2019-01-01,106918,4
2019-01-02,106836,4
2019-01-03,106884,7
2019-01-04,106747,3
2019-01-05,108015,3
2019-01-06,108015,2
2019-01-07,107969,8
2019-01-08,107877,7
2019-01-09,107831,1
2019-01-10,107462,10
2019-01-11,107463,7
2019-01-12,107370,1
2019-01-13,107187,4
2019-01-14,106865,5
2019-01-15,106267,7
2019-01-16,106266,4
2019-01-17,106268,6
2019-01-18,106222,2
2019-01-19,106222,2
2019-01-20,106220,1
2019-01-21,106221,10
2019-01-22,106221,6
2019-01-23,107488,12
2019-01-24,107303,6
2019-01-25,106983,6
2019-01-26,106936,2
2019-01-27,106885,4
2019-01-28,106889,6
2019-01-29,106890,2
2019-01-30,106154,1
2019-01-31,106093,2
2019-02-01,106032,3
2019-02-02,105846,4
2019-02-03,105847,4
2019-02-04,105785,4
2019-02-05,105970,3
2019-02-06,105739,7
2019-02-07,105693,10
2019-02-08,105694,7
2019-02-09,105693,1
2019-02-10,105648,7
2019-02-11,105648,14
2019-02-12,105648,3
2019-02-13,105372,2
2019-02-14,105326,7
2019-02-15,105325,5
2019-02-16,105325,2
2019-02-17,105326,4
2019-02-18,105326,4
2019-02-19,105322,3
2019-02-20,105326,2
2019-02-21,104493,5
2019-02-22,104314,4
2019-02-23,104130,2
2019-02-24,104036,8
2019-02-25,103974,5
2019-02-26,104037,6
2019-02-27,103946,4
2019-02-28,105166,4
2019-03-01,106386,4
2019-03-02,107606,2
2019-03-03,107376,5
2019-03-04,107376,8
2019-03-05,107915,1
2019-03-06,107702,3
2019-03-07,107610,1
2019-03-08,107732,5
2019-03-09,107732,1
2019-03-10,107685,4
2019-03-11,107623,3
2019-03-12,107579,4
2019-03-13,107226,10
2019-03-14,106966,7
2019-03-15,106903,5
2019-03-16,106901,5
2019-03-17,106902,4
2019-03-18,106831,14
2019-03-19,106903,12
2019-03-20,106856,6
2019-03-21,106856,2
2019-03-22,106765,7
2019-03-23,106534,2
2019-03-24,106305,3
2019-03-25,106075,8
2019-03-26,105800,7
2019-03-27,105661,3
2019-03-28,106882,6
2019-03-29,106606,6
2019-03-30,106560,1
2019-03-31,106238,0
2019-04-01,106236,12
2019-04-02,106237,10
2019-04-03,106008,9
2019-04-04,105956,10
2019-04-05,105824,4
2019-04-06,105776,1
2019-04-07,105778,2
2019-04-08,105731,3
2019-04-09,105732,8
2019-04-10,105732,4
2019-04-11,105669,3
2019-04-12,105671,1
2019-04-13,105671,2
2019-04-14,105670,1
2019-04-15,105669,11
2019-04-16,105670,1
2019-04-17,105732,6
2019-04-18,105731,7
2019-04-19,105670,5
2019-04-20,105670,3
2019-04-21,105671,3
2019-04-22,105671,8
2019-04-23,105670,8
2019-04-24,105730,5
2019-04-25,105732,6
2019-04-26,105731,4
2019-04-27,105732,2
2019-04-28,105732,4
2019-04-29,105625,6
2019-04-30,105624,1
2019-05-01,105670,5
2019-05-02,105778,8
2019-05-03,105777,2
2019-05-04,106998,4
2019-05-05,106935,1
2019-05-06,106936,15
2019-05-07,106936,8
2019-05-08,106937,6
2019-05-09,106997,3
2019-05-10,106998,5
2019-05-11,106998,5
2019-05-12,106997,2
2019-05-13,106936,10
2019-05-14,106997,12
2019-05-15,106997,8
2019-05-16,108218,4
2019-05-17,108217,8
2019-05-18,108218,2
2019-05-19,108218,2
2019-05-20,108218,7
2019-05-21,108218,6
2019-05-22,108218,8
2019-05-23,108216,3
2019-05-24,108217,5
2019-05-25,108217,1
2019-05-26,108218,2
